DateTime,Visitor,Visitor PTS,Home,Home PTS,OT,Attendance,Arena,DateStr,Visitor_short,Home_short,game_id
2000-11-04 20:00:00,Sacramento Kings,91.0,Minnesota Timberwolves,99.0,,19006.0,Target Center,200011042000,SAC,MIN,200011042000SACMIN
2000-11-04 20:00:00,Charlotte Hornets,98.0,New Jersey Nets,87.0,,11522.0,Continental Airlines Arena,200011042000,CHH,NJN,200011042000CHHNJN
2000-11-04 20:30:00,Detroit Pistons,88.0,Milwaukee Bucks,97.0,,18717.0,Bradley Center,200011042030,DET,MIL,200011042030DETMIL
2000-11-04 21:00:00,Phoenix Suns,102.0,Denver Nuggets,99.0,,13312.0,Pepsi Center,200011042100,PHX,DEN,200011042100PHXDEN
2000-11-04 22:00:00,Portland Trail Blazers,97.0,Seattle SuperSonics,90.0,,17072.0,KeyArena at Seattle Center,200011042200,POR,SEA,200011042200PORSEA
2000-11-04 22:30:00,San Antonio Spurs,117.0,Golden State Warriors,105.0,,16121.0,The Arena in Oakland,200011042230,SAS,GSW,200011042230SASGSW
2000-11-04 22:30:00,Houston Rockets,74.0,Los Angeles Clippers,77.0,,10797.0,STAPLES Center,200011042230,HOU,LAC,200011042230HOULAC
2000-11-05 20:00:00,Houston Rockets,99.0,Phoenix Suns,104.0,,16735.0,America West Arena,200011052000,HOU,PHX,200011052000HOUPHX
2000-11-05 21:30:00,Los Angeles Clippers,103.0,Los Angeles Lakers,108.0,,18997.0,STAPLES Center,200011052130,LAC,LAL,200011052130LACLAL
2000-11-06 19:30:00,Seattle SuperSonics,99.0,Orlando Magic,110.0,,12460.0,TD Waterhouse Centre,200011061930,SEA,ORL,200011061930SEAORL
2000-11-06 21:00:00,Dallas Mavericks,108.0,Denver Nuggets,96.0,,11190.0,Pepsi Center,200011062100,DAL,DEN,200011062100DALDEN
2000-11-06 21:00:00,Minnesota Timberwolves,92.0,Utah Jazz,98.0,,19911.0,Delta Center,200011062100,MIN,UTA,200011062100MINUTA
2000-11-06 22:00:00,Atlanta Hawks,87.0,Vancouver Grizzlies,97.0,,11639.0,General Motors Place,200011062200,ATL,VAN,200011062200ATLVAN
2000-11-06 22:30:00,Portland Trail Blazers,75.0,Sacramento Kings,79.0,,17317.0,ARCO Arena (II),200011062230,POR,SAC,200011062230PORSAC
2000-11-07 19:00:00,Boston Celtics,75.0,Toronto Raptors,105.0,,17379.0,Air Canada Centre,200011071900,BOS,TOR,200011071900BOSTOR
2000-11-07 20:00:00,New York Knicks,103.0,Milwaukee Bucks,89.0,,14246.0,Bradley Center,200011072000,NYK,MIL,200011072000NYKMIL
2000-11-07 20:30:00,Los Angeles Lakers,74.0,Houston Rockets,84.0,,14473.0,Compaq Center,200011072030,LAL,HOU,200011072030LALHOU
2000-11-07 20:30:00,Washington Wizards,88.0,Chicago Bulls,83.0,,21312.0,United Center,200011072030,WAS,CHI,200011072030WASCHI
2000-11-07 21:00:00,San Antonio Spurs,81.0,Phoenix Suns,100.0,,16683.0,America West Arena,200011072100,SAS,PHX,200011072100SASPHX
2000-11-07 22:00:00,Atlanta Hawks,88.0,Portland Trail Blazers,97.0,,19980.0,Rose Garden Arena,200011072200,ATL,POR,200011072200ATLPOR
2000-11-08 19:00:00,Milwaukee Bucks,97.0,Indiana Pacers,108.0,,17684.0,Conseco Fieldhouse,200011081900,MIL,IND,200011081900MILIND
2000-11-08 19:00:00,Detroit Pistons,94.0,Philadelphia 76ers,103.0,,15986.0,First Union Center,200011081900,DET,PHI,200011081900DETPHI
2000-11-08 19:00:00,New Jersey Nets,102.0,Washington Wizards,86.0,,11532.0,MCI Center,200011081900,NJN,WAS,200011081900NJNWAS
2000-11-08 19:30:00,Seattle SuperSonics,81.0,Miami Heat,87.0,,15083.0,AmericanAirlines Arena,200011081930,SEA,MIA,200011081930SEAMIA
2000-11-08 19:30:00,Cleveland Cavaliers,99.0,New York Knicks,97.0,,19763.0,Madison Square Garden (IV),200011081930,CLE,NYK,200011081930CLENYK
2000-11-08 19:30:00,Charlotte Hornets,96.0,Orlando Magic,90.0,,12617.0,TD Waterhouse Centre,200011081930,CHH,ORL,200011081930CHHORL
2000-11-08 20:00:00,Vancouver Grizzlies,101.0,Dallas Mavericks,74.0,,11500.0,Reunion Arena,200011082000,VAN,DAL,200011082000VANDAL
2000-11-08 20:00:00,Los Angeles Lakers,81.0,San Antonio Spurs,91.0,,26065.0,Alamodome,200011082000,LAL,SAS,200011082000LALSAS
2000-11-08 21:00:00,Minnesota Timberwolves,107.0,Denver Nuggets,109.0,OT,10549.0,Pepsi Center,200011082100,MIN,DEN,200011082100MINDEN
2000-11-08 22:30:00,Utah Jazz,93.0,Los Angeles Clippers,87.0,OT,10292.0,STAPLES Center,200011082230,UTA,LAC,200011082230UTALAC
2000-11-08 22:30:00,Golden State Warriors,84.0,Sacramento Kings,115.0,,17317.0,ARCO Arena (II),200011082230,GSW,SAC,200011082230GSWSAC
2000-11-09 19:30:00,Detroit Pistons,108.0,New Jersey Nets,94.0,,10000.0,Continental Airlines Arena,200011091930,DET,NJN,200011091930DETNJN
2000-11-09 19:30:00,Seattle SuperSonics,102.0,Charlotte Hornets,94.0,,17054.0,Charlotte Coliseum,200011091930,SEA,CHH,200011091930SEACHH
2000-11-09 20:00:00,Philadelphia 76ers,84.0,Minnesota Timberwolves,82.0,,16119.0,Target Center,200011092000,PHI,MIN,200011092000PHIMIN
2000-11-09 20:30:00,Orlando Magic,90.0,Chicago Bulls,95.0,,21844.0,United Center,200011092030,ORL,CHI,200011092030ORLCHI
2000-11-09 20:30:00,Vancouver Grizzlies,78.0,Houston Rockets,85.0,,10906.0,Compaq Center,200011092030,VAN,HOU,200011092030VANHOU
2000-11-09 21:00:00,Atlanta Hawks,79.0,Phoenix Suns,88.0,,16792.0,America West Arena,200011092100,ATL,PHX,200011092100ATLPHX
2000-11-09 22:00:00,Denver Nuggets,91.0,Portland Trail Blazers,107.0,,19996.0,Rose Garden Arena,200011092200,DEN,POR,200011092200DENPOR
2000-11-10 19:00:00,Cleveland Cavaliers,88.0,Toronto Raptors,115.0,,19800.0,Air Canada Centre,200011101900,CLE,TOR,200011101900CLETOR
2000-11-10 19:00:00,Indiana Pacers,86.0,Washington Wizards,74.0,,19955.0,MCI Center,200011101900,IND,WAS,200011101900INDWAS
2000-11-10 19:30:00,New York Knicks,103.0,Boston Celtics,101.0,OT,18624.0,FleetCenter,200011101930,NYK,BOS,200011101930NYKBOS
2000-11-10 20:00:00,San Antonio Spurs,77.0,Dallas Mavericks,79.0,,17296.0,Reunion Arena,200011102000,SAS,DAL,200011102000SASDAL
2000-11-10 21:00:00,Miami Heat,87.0,Utah Jazz,80.0,,19093.0,Delta Center,200011102100,MIA,UTA,200011102100MIAUTA
2000-11-10 22:30:00,Sacramento Kings,114.0,Golden State Warriors,107.0,OT,17467.0,The Arena in Oakland,200011102230,SAC,GSW,200011102230SACGSW
2000-11-10 22:30:00,Atlanta Hawks,106.0,Los Angeles Clippers,115.0,,10396.0,STAPLES Center,200011102230,ATL,LAC,200011102230ATLLAC
2000-11-11 13:00:00,Seattle SuperSonics,91.0,New Jersey Nets,126.0,,14443.0,Continental Airlines Arena,200011111300,SEA,NJN,200011111300SEANJN
2000-11-11 19:00:00,Detroit Pistons,84.0,Indiana Pacers,94.0,,18345.0,Conseco Fieldhouse,200011111900,DET,IND,200011111900DETIND
2000-11-11 19:30:00,Washington Wizards,73.0,Cleveland Cavaliers,86.0,,17336.0,Gund Arena,200011111930,WAS,CLE,200011111930WASCLE
2000-11-11 19:30:00,Charlotte Hornets,67.0,New York Knicks,81.0,,19763.0,Madison Square Garden (IV),200011111930,CHH,NYK,200011111930CHHNYK
2000-11-11 20:00:00,Boston Celtics,83.0,Philadelphia 76ers,85.0,,19258.0,First Union Center,200011112000,BOS,PHI,200011112000BOSPHI
2000-11-11 20:30:00,Toronto Raptors,98.0,Chicago Bulls,75.0,,22387.0,United Center,200011112030,TOR,CHI,200011112030TORCHI
2000-11-11 20:30:00,Minnesota Timberwolves,103.0,Milwaukee Bucks,92.0,,18717.0,Bradley Center,200011112030,MIN,MIL,200011112030MINMIL
2000-11-11 20:30:00,Vancouver Grizzlies,78.0,San Antonio Spurs,91.0,,18556.0,Alamodome,200011112030,VAN,SAS,200011112030VANSAS
2000-11-11 21:00:00,Miami Heat,82.0,Phoenix Suns,84.0,,18120.0,America West Arena,200011112100,MIA,PHX,200011112100MIAPHX
